方案名称,运输方式代码,分区代码,国家
郑州邮政小包PLUS,ZZZYPL,1,法国
郑州邮政小包PLUS,ZZZYPL,2,德国
郑州邮政小包PLUS,ZZZYPL,3,新西兰
郑州邮政小包PLUS,ZZZYPL,4,波兰
郑州邮政小包PLUS,ZZZYPL,5,斯洛伐克共和国
郑州邮政小包PLUS,ZZZYPL,6,克罗地亚
郑州邮政小包PLUS,ZZZYPL,7,捷克共和国
郑州邮政小包PLUS,ZZZYPL,8,斯洛文尼亚
深圳邮政小包PLUS分区,SZZYPL,1,法国
深圳邮政小包PLUS分区,SZZYPL,2,德国
深圳邮政小包PLUS分区,SZZYPL,3,新西兰
深圳邮政小包PLUS分区,SZZYPL,4,波兰
深圳邮政小包PLUS分区,SZZYPL,5,斯洛伐克共和国
深圳邮政小包PLUS分区,SZZYPL,6,克罗地亚
深圳邮政小包PLUS分区,SZZYPL,7,捷克共和国
深圳邮政小包PLUS分区,SZZYPL,8,斯洛文尼亚
燕文中邮PLUS,YWZYPL,1,法国
燕文中邮PLUS,YWZYPL,2,德国
燕文中邮PLUS,YWZYPL,3,新西兰
燕文中邮PLUS,YWZYPL,4,波兰
燕文中邮PLUS,YWZYPL,5,斯洛伐克共和国
燕文中邮PLUS,YWZYPL,6,克罗地亚
燕文中邮PLUS,YWZYPL,7,捷克共和国
燕文中邮PLUS,YWZYPL,8,斯洛文尼亚
郑州邮政小包平邮分区NEW,ZZZYPY,1,日本
郑州邮政小包平邮分区NEW,ZZZYPY,2,奥地利|保加利亚|印度尼西亚|印度|韩国|马来西亚|新加坡|斯洛伐克共和国|泰国
郑州邮政小包平邮分区NEW,ZZZYPY,3,比利时|瑞士|丹麦|芬兰|希腊|爱尔兰|意大利|葡萄牙|捷克共和国|波兰
郑州邮政小包平邮分区NEW,ZZZYPY,4,亚美尼亚|阿塞拜疆(独联体)|波斯尼亚-黑塞哥维那共和国|白俄罗斯(独联体)|加拿大|塞浦路斯|爱沙尼亚|西班牙|吉尔吉斯斯坦|朝鲜|哈萨克斯坦|斯里兰卡|立陶宛|卢森堡|拉脱维亚|蒙古|马耳他|阿曼|菲律宾|巴基斯坦|卡塔尔|罗马尼亚|沙特阿拉伯|叙利亚|土库曼斯坦|土耳其|乌克兰|美国|乌兹别克斯坦|越南|新西兰|法国|斯洛文尼亚
